n,u_k ("/yr),b_k,phi_k (degree)
1,4.257564,0.018986,30.739
2,7.456665,0.016354,-157.801
3,17.910194,0.013055,140.577
4,17.366595,0.008849,-55.885
5,5.579378,0.004248,77.107
6,17.112064,0.002742,47.965
7,17.654560,0.002386,61.025
8,6.954694,0.001796,-159.137
9,16.822731,0.001908,105.698
10,28.244959,0.001496,127.609
11,18.452681,0.001325,156.113
12,5.446730,0.001266,-124.155
13,18.203535,0.001165,-92.112
14,7.325741,0.001304,-175.144
15,7.060100,0.001071,2.423
16,7.587926,0.000970,34.169
17,5.723726,0.001002,112.564
18,16.564805,0.000936,24.637
19,16.278532,0.000781,-90.999
20,18.999613,0.000687,0.777
21,3.087424,0.000575,120.376
22,17.223297,0.000577,-113.456
23,6.778196,0.000651,117.184
24,6.032715,0.000416,174.987
25,6.878659,0.000497,95.424
26,5.315656,0.000392,33.255
